Year,Month,Cottonseed_Price,Cotton_Wholesale_Price
1928,4,39.4,20.6
1928,5,43,21.6
1928,6,41.25,21.5
1928,7,39.27,21.7
1928,8,36.87,19.3
1928,9,31.02,18.6
1928,10,34.08,19.6
1928,11,37.17,19.9
1928,12,37.74,20.5
1929,1,38.05,20.2
1929,2,38.73,20.2
1929,3,39.36,21.2
1929,4,38.94,20.1
1929,5,37.78,19.5
1929,6,35.83,18.8
1929,7,34.84,18.6
1929,8,32.69,18.7
1929,9,31.03,18.9
1929,10,31.4,18.6
1929,11,30.75,17.5
1929,12,30.31,17.3
1930,1,28.95,17.3
1930,2,28.89,15.7
1930,3,28.63,15.1
1930,4,29.74,16.3
1930,5,30.61,16.4
1930,6,29.66,14.5
1930,7,27.35,13.2
1930,8,23.99,12.1
1930,9,23.89,10.9
1930,10,20.73,10.7
1930,11,21.26,11
1930,12,21.28,10.1
1931,1,21.25,10.2
1931,2,21.87,11
1931,3,22.43,10.9
1931,4,22.85,10.2
1931,5,22.32,9.3
1931,6,20.32,9
1931,7,19.52,9.3
1931,8,14.71,7.2
1931,9,8.93,6.5
1931,10,7.66,6.4
1931,11,11.61,6.5
1931,12,11.01,6.3
1932,1,10.38,6.6
1932,2,10.12,6.8
1932,3,10.17,6.8
1932,4,9.78,6.2
1932,5,9.66,5.9
1932,6,8.85,5.3
1932,7,8.61,5.8
1932,8,9.13,7.4
1932,9,11.28,7.7
1932,10,10.45,6.6
1932,11,9.54,6.2
1932,12,8.87,5.9
1933,1,8.81,6.2
1933,2,8.91,6.1
1933,3,9.22,7
1933,4,10.03,6.9
1933,5,12,8.6
1933,6,12.96,9.6
1933,7,16.59,10.8
1933,8,15.6,9.6
1933,9,12.11,9.7
1933,10,12.58,9.7
1933,11,13.67,10
1933,12,15.35,10.2
1934,1,16.18,11.3
1934,2,18.9,12.3
1934,3,20.84,12.3
1934,4,21.88,11.9
1934,5,22.23,11.4
1934,6,21.59,12.3
1934,7,22.18,12.9
1934,8,25.46,13.4
1934,9,31.54,13.1
1934,10,35.62,12.5
1934,11,37.08,12.6
1934,12,39.9,12.7
1935,1,40.27,12.7
1935,2,40.81,12.6
1935,3,40.08,11.5
1935,4,39.47,11.7
1935,5,39.36,12.3
1935,6,37.16,11.9
1935,7,34.53,12.2
1935,8,29.22,11.5
1935,9,27.65,10.8
1935,10,32,11.2
1935,11,33.27,12
1935,12,32.95,12.1
1936,1,31.72,11.9
1936,2,31.08,11.6
1936,3,30.95,11.4
1936,4,31.28,11.7
1936,5,30.67,11.7
1936,6,29.01,12
1936,7,30.42,13.2
1936,8,31.66,12.3
1936,9,33.15,12.3
1936,10,33.23,12.3
1936,11,33.28,12.2
1936,12,34.87,12.8
1937,1,36.82,13
1937,2,37.7,13.1
1937,3,38.13,14.5
1937,4,38.81,14.3
1937,5,38.52,13.3
1937,6,36.81,12.7
1937,7,34.53,12.4
1937,8,26.59,10.3
1937,9,19.25,9
1937,10,18.29,8.4
1937,11,18.76,8
1937,12,18.68,8.3
1938,1,18.89,8.6
1938,2,19.63,8.9
1938,3,20.35,8.9
1938,4,20.93,8.8
1938,5,21.93,8.4
1938,6,21.67,8.4
1938,7,.,8.9
1938,8,.,8.4
1938,9,.,8.1
1938,10,.,8.6
1938,11,.,9.1
1938,12,.,8.7
